"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Ends,Impressions,"CPM (cost per 1,000 impressions) (EUR)","Link clicks",shop_clicks,"CPC (cost per link click) (EUR)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EUR)","Landing page views","Cost per landing page view (EUR)"
2026-04-08,2026-05-07,Leadcampagne,active,"Multiple attribution settings",,,6809,3.47026,,"Using ad set budget",0,336.71,Ongoing,23629,14.249862,731,,0.460616,3.093656,1182,5.002328,0.284865,462,0.72881
2026-04-08,2026-05-07,"Awareness fit20 Rijen",inactive,"7-day click or 1-day view",,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
