"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EUR)","Link clicks",shop_clicks,"CPC (cost per link click) (EUR)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EUR)","Landing page views","Cost per landing page view (EUR)"
2026-04-08,2026-05-07,"2) Unaware 3",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Short 1- actie",active,"7-day click or 1-day view",,,881,1.239501,,15,Daily,12.01,Ongoing,-,-,-,1092,10.998169,22,,0.545909,2.014652,35,3.205128,0.343143,19,0.632105
2026-04-08,2026-05-07,"Actie video 1",active,"7-day click or 1-day view",3,actions:offsite_conversion.custom.1968994793916535,2650,1.529057,18.12333333,15,Daily,54.37,Ongoing,-,-,-,4052,13.418065,124,,0.438468,3.060217,193,4.76308,0.28171,88,0.617841
2026-04-08,2026-05-07,Testimonial,active,"7-day click or 1-day view",2,actions:offsite_conversion.custom.1968994793916535,1794,1.558528,20.09,15,Daily,40.18,Ongoing,-,-,-,2796,14.370529,69,,0.582319,2.467811,188,6.723891,0.213723,55,0.730545
2026-04-08,2026-05-07,"Afbeelding - groep 3 - later",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Video - afbeelding roulerend",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Emotional desire 1_versie 2",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"emotional desire 3 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"product aware 2 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"solution aware 3 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2) Product aware 2",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2) Unaware 1",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
