"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EUR)","Link clicks",shop_clicks,"CPC (cost per link click) (EUR)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EUR)","Landing page views","Cost per landing page view (EUR)"
2026-04-08,2026-05-07,"Carrousel - groep 2",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Afbeelding - groep 1",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,Collage,inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Afbeelding - 3 dames in cabines",not_delivering,"7-day click or 1-day view",1,actions:offsite_conversion.custom.1968994793916535,9414,1.822711,226.65,21,Daily,226.65,Ongoing,-,-,-,17159,13.208812,347,,0.65317,2.022262,982,5.722944,0.230804,299,0.758027
2026-04-08,2026-05-07,"Collage nieuw",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Video zelfbeeld en onzekerheid 1",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Unaware 1_versie 2",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Product aware 1",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Solution aware 1",not_delivering,"7-day click or 1-day view",1,actions:offsite_conversion.custom.1968994793916535,8678,1.748099,223.16,21,Daily,223.16,Ongoing,-,-,-,15170,14.710613,462,,0.48303,3.045485,599,3.948583,0.372554,325,0.686646
2026-04-08,2026-05-07,"Unaware 2",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2) problem aware 2",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2) emotional desire 2",not_delivering,"7-day click or 1-day view",,,1830,1.398361,,21,Daily,33.09,Ongoing,-,-,-,2559,12.930832,51,,0.648824,1.992966,80,3.126221,0.413625,34,0.973235
2026-04-08,2026-05-07,"2) solution aware 2",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"emotional desire 1 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"problem aware 1 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"problem aware 3 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2) product aware 1",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"product aware 3 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2) solution aware 1",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,ozontherapie,inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,Reviews,inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
